id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1,Batman (Bruce Wayne),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,3093,"1939, May",1939
2,Superman (Clark Kent),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2496,"1986, October",1986
3,Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,1565,"1959, October",1959
4,James Gordon (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Living Characters,1316,"1987, February",1987
5,Richard Grayson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1237,"1940, April",1940
6,Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1231,"1941, December",1941
7,Aquaman (Arthur Curry),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1121,"1941, November",1941
8,Timothy Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1095,"1989, August",1989
9,Dinah Laurel Lance (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1075,"1969, November",1969
10,Flash (Barry Allen),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1028,"1956, October",1956
11,GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1028,"1956, October",1956
12,Alan Scott (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,969,"1940, July",1940
13,Jason Garrick (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,951,"1940, January",1940
14,Barbara Gordon (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,951,"1967, January",1967
15,Lois Lane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,934,"1938, June",1938
16,Alfred Pennyworth (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,930,"1943, April",1943
17,Carter Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,803,"1940, January",1940
18,Kyle Rayner (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,716,"1994, January",1994
19,Raymond Palmer (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,706,"1961, October",1961
20,Alexander Luthor (New Earth),Public Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,677,"1986, October",1986
21,Roy Harper (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,654,"1941, November",1941
22,Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,635,"1976, February",1976
23,Ted Grant (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,605,"1942, January",1942
24,Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Living Characters,595,"1965, November",1965
25,Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,593,"1968, March",1968
26,Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,584,"1980, October",1980
27,Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,560,"1993, June",1993
28,Ralph Dibny (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Deceased Characters,558,"1960, May",1960
29,James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,557,"1986, October",1986
30,John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,549,"1971, December",1971
31,Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Living Characters,517,"1940, June",1940
32,Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,492,"1959, April",1959
33,Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Deceased Characters,487,"1960, February",1960
34,Rex Mason (New Earth),Secret Identity,Unknown or None,Black Eyes,Unknown or None,Living Characters,470,"1965, January",1965
35,Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,439,"1964, November",1964
36,Aztar (New Earth),Secret Identity,Unknown or None,White Eyes,Unknown or None,Living Characters,436,"1940, February",1940
37,Theodore Kord (New Earth),Secret Identity,Unknown or None,Blue Eyes,Brown Hair,Deceased Characters,429,"1986, February",1986
38,Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,427,"1986, February",1986
39,Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,423,"1996, January",1996
40,Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,422,"1940, May",1940
41,Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,413,"1974, July",1974
42,Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,399,"1980, October",1980
